#nodes (naive_nbr),core number (naive_nbr),#nodes (graph_core),core number (graph_core),#common nodes,cumulative sum
482,24,116,40,99,99
388,23,95,39,49,148
225,22,7,38,0,148
151,21,12,37,1,149
162,20,21,36,0,149
99,19,14,35,0,149
162,18,24,34,0,149
184,17,20,33,0,149
146,16,11,32,0,149
141,15,24,31,0,149
