#nodes (naive_degree),core number (naive_degree),#nodes (graph_core),core number (graph_core),#common nodes,cumulative sum
19,11,116,40,19,19
2,10,95,39,0,19
18,9,7,38,0,19
17,8,12,37,0,19
60,7,21,36,1,20
56,6,14,35,0,20
117,5,24,34,1,21
205,4,20,33,3,24
323,3,11,32,2,26
607,2,24,31,6,32
