#nodes (naive_nbr),core number (naive_nbr),#nodes (graph_core),core number (graph_core),#common nodes,cumulative sum
247,5,574,5,247,247
5908,4,6987,4,5592,5839
13565,3,17110,3,12299,18138
105609,2,100658,2,100658,118796
