1,2,3
1,2,4
1,2,3
1,2,5
1,3,5
1,4,6
3,5,6
1,3,4
1,2,3
1,2,3
1,2,3
1,2,4
1,2,7
2,3,6
1,2,3
1,2,3
10,2,3
11,2,3
1,11,12
1,2,3
1,2,3
1,2,3
1,2,3
1,2,4
1,2,3
1,2,3
1,2,3
17,2,3
1,2,3
1,18,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,21
1,2,3
1,2,3
1,2,24
1,2,3
1,2,3
1,2,31
2,21,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,39
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,40
1,2,3
1,2,3
1,2,3
1,2,41
1,2,3
1,2,3
1,2,45
1,2,46
1,2,3
1,2,3
1,3,50
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,46,64
1,2,66
1,3,67
1,2,3
1,2,70
1,2,3
1,2,3
1,4,66
1,2,3
1,2,3
1,2,71
2,3,74
1,2,50
1,2,3
1,2,75
1,2,77
1,2,3
1,2,3
2,3,71
1,2,3
2,3,81
2,3,7
11,2,83
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,31
1,2,89
1,2,3
1,2,95
1,2,24
1,2,3
1,3,46
1,2,3
1,2,3
1,2,3
1,101,2
1,3,6
103,2,71
1,2,3
1,2,3
1,2,3
1,2,3
1,106,2
1,2,3
1,2,3
110,2,4
1,2,3
2,3,31
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,36
1,126,2
1,2,3
128,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,137,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
3,83,89
1,139,3
1,139,141
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,75
1,2,3
142,2,81
1,2,3
143,2,3
1,2,3
1,2,3
1,2,3
12,2,6
1,2,3
1,2,3
1,2,3
1,2,3
1,153,2
1,2,67
1,2,3
1,106,2
1,161,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,173,2
1,2,3
1,2,3
176,2,75
1,2,3
1,178,2
1,180,2
1,181,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
128,188,7
1,189,2
110,2,3
1,2,3
1,191,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
173,2,75
1,2,3
1,2,3
1,2,3
1,2,3
2,3,36
1,106,2
1,2,3
1,199,2
1,203,39
1,2,3
1,2,3
1,2,3
1,3,7
1,2,3
1,2,3
191,2,3
1,215,3
1,11,3
1,2,3
1,2,3
1,3,67
176,188,3
1,2,3
1,2,3
1,2,3
1,3,75
1,2,222
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,89
1,2,3
1,2,3
1,2,3
1,199,3
1,2,3
1,2,3
1,143,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,203,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,265
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
161,2,277
1,2,3
1,2,3
1,2,3
1,2,280
1,2,3
1,2,3
1,2,281
1,2,285
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,12,3
1,2,4
1,2,3
1,2,3
1,3,40
1,2,3
1,2,299
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,308,36
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,50
18,308,323
1,2,3
1,2,3
2,3,95
1,2,3
1,2,3
1,2,3
203,328,75
329,36,50
1,2,3
1,2,3
176,2,3
1,2,3
1,2,3
1,3,67
1,21,3
1,3,338
141,2,3
1,2,3
1,2,3
1,142,2
1,128,342
1,2,3
1,2,3
110,343,50
1,2,3
1,2,3
1,3,70
1,2,3
1,2,3
2,3,50
1,2,3
103,2,350
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,355
1,2,3
1,2,3
141,2,66
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,50
1,2,3
2,3,365
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,375
1,2,3
1,2,3
1,2,3
1,2,3
2,3,6
1,2,3
1,3,39
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
143,2,399
1,2,3
1,2,3
1,2,3
1,2,3
1,2,5
1,2,3
1,18,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,45
1,2,3
1,2,3
1,2,3
1,2,3
1,2,410
1,2,3
1,2,3
1,2,3
1,2,3
10,181,287
1,12,2
1,2,3
1,2,3
1,2,215
1,2,3
1,2,3
1,2,3
1,2,422
1,2,3
2,3,424
1,2,3
1,2,3
1,2,3
2,3,430
1,2,3
1,2,432
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
178,2,3
1,2,3
1,2,3
1,2,3
1,2,3
189,191,472
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,476
1,2,3
1,2,3
1,2,477
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,481
1,3,410
1,2,485
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
103,430,488
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,505
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,508
2,3,89
1,2,3
1,2,3
1,173,513
1,2,3
1,2,515
180,2,3
1,2,3
1,3,71
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,338
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,308
1,3,7
1,2,543
1,2,3
1,2,548
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,153,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,21,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,424
1,2,3
285,553,583
1,2,3
188,2,3
1,2,3
1,350,584
1,2,3
2,3,585
1,281,3
1,2,3
1,2,3
1,3,74
1,2,3
1,2,3
1,2,3
1,2,3
308,36,422
1,3,83
1,2,3
1,2,3
1,3,50
2,3,342
1,2,3
1,2,430
1,2,3
1,2,3
1,2,3
1,2,3
1,2,600
1,2,3
1,176,3
1,2,3
1,2,3
1,199,2
1,2,3
2,3,67
1,2,3
1,2,3
2,3,536
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
2,3,624
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
126,2,3
1,2,308
1,2,3
1,2,41
1,2,3
1,2,3
1,2,3
1,299,3
2,3,39
1,2,3
1,2,3
1,2,3
1,2,642
1,2,3
1,2,3
2,41,644
1,2,3
1,2,3
1,342,50
1,2,3
1,3,46
1,2,3
1,2,3
1,2,3
1,3,89
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,505
1,2,3
1,176,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,669
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,476
1,161,3
1,2,3
1,2,3
2,3,430
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,3,5
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
