1168,1159,1158
1159,1155,1174
1160,1155,1174
1161,1155,1174
1155,1174,1162
1163,1155,1174
1168,1159,1155
1168,1160,1155
1161,1168,1155
1168,1155,1162
1163,1168,1155
1159,1155,1169
1160,1155,1169
1161,1155,1169
1155,1169,1162
1163,1155,1169
1170,1159,1155
1170,1160,1155
1161,1170,1155
1170,1155,1162
1163,1170,1155
1159,1155,1171
1160,1155,1171
1161,1155,1171
1155,1171,1162
1163,1155,1171
1172,1159,1155
1172,1160,1155
1172,1161,1155
1172,1155,1162
1163,1172,1155
1159,1155,1173
1160,1155,1173
1161,1155,1173
1155,1162,1173
1163,1155,1173
1164,1159,1155
1164,1160,1155
1161,1164,1155
1164,1155,1162
1163,1164,1155
1165,1159,1155
1165,1160,1155
1161,1165,1155
1165,1155,1162
1163,1165,1155
1159,1155
1160,1155,1166
1161,1155,1166
1155,1162,1166
1163,1155,1166
1159,1155,1167
1160,1155,1167
1161,1155,1167
1155,1162,1167
1163,1155,1167
1159,1158,1174
1160,1158,1174
1161,1158,1174
1158,1174,1162
1168,1159,1158
1168,1160,1158
1161,1168,1158
1168,1158,1162
1159,1158,1169
1160,1158,1169
1158,1169,1162
1163,1158,1169
1170,1159,1158
1170,1160,1158
1161,1170,1158
1170,1158,1162
1163,1170,1158
1159,1158,1171
1160,1158,1171
1161,1158,1171
1158,1171,1162
1163,1158,1171
1172,1159,1158
1172,1160,1158
1172,1161,1158
1172,1158,1162
1163,1172,1158
1159,1158,1173
1160,1158,1173
1161,1158,1173
1158,1162,1173
1163,1158,1173
1164,1159,1158
1164,1160,1158
1161,1164,1158
1164,1158,1162
1163,1164,1158
1165,1159,1158
1165,1160,1158
1161,1165,1158
1165,1158,1162
1163,1165,1158
1159,1158,1166
1160,1158,1166
1161,1158,1166
1158,1162,1166
1163,1158,1166
1159,1158,1167
1160,1158,1167
1161,1158,1167
1158,1162,1167
1163,1158,1167
